valid|entry|cnt_words|pronounce|syllabary|english|mco
|ᎠᎵᏒᏍᏗᎭ|3|Anijilvsgi julsvsdohdi ulvkwdi.|ᎠᏂᏥᎸᏍᎩ ᏧᎵᏒᏍᏙᏗ ᎤᎸᏉᏗ.|He likes to smell flowers.|
|ᏔᎵᏁ ᎢᎦ|3|Dodajalvhwisdanelis Taline Iga?|ᏙᏓᏣᎸᏫᏍᏓᏁᎵᏍ ᏔᎵᏁ ᎢᎦ?|Are you going to work on Tuesday?|
|ᎦᎾᏌᏁᎠ|3|Eligwus dagwalela yisginsanesi?|ᎡᎵᏊᏍ ᏓᏆᎴᎳ ᏱᏍᎩᎾᏌᏁᏏ?|Can you pull a car for me?|
|ᎠᏁᏦᏍᎦ|3|Ganulvhi anahnejosga diniyohli.|ᎦᏄᎸᎯ ᎠᎾᏁᏦᏍᎦ ᏗᏂᏲᏟ.|The children are frolicking in the grass|
|ᎦᏁᎦ|3|Gasaleni hihnuga, uhyvdlahehno.|ᎦᏌᎴᏂ ᎯᏄᎦ, ᎤᏴᏜᎮᏃ.|Take a coat, because it's cold.|
|ᎠᏁᏟᏗᎭ|3|Gawonisgi gawonisgv ahnehldiha.|ᎦᏬᏂᏍᎩ ᎦᏬᏂᏍᎬ ᎠᏁᏟᏗᎭ.|He's interpreting the speaker's speech.|
|ᏗᏓᏘᏂᏙᎯ|3|Hadlv didatihnidohi ijadahlgvi?|ᎭᏢ ᏗᏓᏘᏂᏙᎯ ᎢᏣᏓᏡᎬᎢ?|Where's the leader of your group?|
|ᎠᏓᏪᎳᎩᏍᎩ|3|Adawelagisgi duleyhtanv gasohii.|ᎠᏓᏪᎳᎩᏍᎩ ᏚᎴᏴᏔᏅ ᎦᏐᎯᎢ.|The flame burned his back.|
|ᏓᏍᎩᎾᏗᎠ|3|Dasginadisgo gosdi yuhnalvstana.|ᏓᏍᎩᎾᏗᏍᎪ ᎪᏍᏗ ᏳᎿᎸᏍᏔᎾ.|He curses when something makes him angry.|
|ᎦᏙᎲ|3|Gadohv nidijenvda juwigvyanisgv?|ᎦᏙᎲ ᏂᏗᏤᏅᏓ ᏧᏫᎬᏯᏂᏍᎬ?|Why didn't you come when I was calling you?|
|ᎢᏧᎳ|3|Ijula desdilvhwisdanelv sunalei.|ᎢᏧᎳ ᏕᏍᏗᎸᏫᏍᏓᏁᎸ ᏑᎾᎴᎢ.|Both of you work tomorrow.|
|ᏧᏙᏓᏋᏓ|3|Judodagwvda galogisgo uhwisvnvi.|ᏧᏙᏓᏋᏓ ᎦᎶᎩᏍᎪ ᎤᏫᏒᏅᎢ.|He hoes his garden every day.|
|ᎤᎳᏏᏕᏂ|3|Julasihdeni duksata duhnawosdvi.|ᏧᎳᏏᏕᏂ ᏚᎦᏌᏔ ᏚᎿᏬᏍᏛᎢ.|His feet are sticking out from under his covers.|
|ᏧᎾᎵᏍᏓᏴᏗᎢ|3|Junalsdayhdi ajinahlaa oginalii.|ᏧᎾᎵᏍᏓᏴᏗ ᎠᏥᎾᏝᎠ ᎣᎩᎾᎵᎢ.|My friend is employed at a restaurant.|
|ᎤᏌᎨᎢ|3|Jusage dihnawosdohdi duhnawosdi.|ᏧᏌᎨ ᏗᎿᏬᏍᏙᏗ ᏚᎿᏬᏍᏗ.|He has on thin covers.|
|ᏔᎷᎩᏍᎩ ᏗᎧᏅᏬᏙᏗ|3|Talugisgi dikanvwodohi utsvhvsi.|ᏔᎷᎩᏍᎩ ᏗᎧᏅᏬᏙᎯ ᎤᏨᎲᏏ.|He ran out of solder.|
|ᏚᎴᏥ|3|Tuleji nidagvnhdaelv junidlvgii.|ᏚᎴᏥ ᏂᏓᎬᏅᏓᎡᎸ ᏧᏂᏢᎩᎢ.|He had his tonsils taken out at the hospital.|
|ᏧᎦᏔᏥᏍᏓᏟ|3|Ale juktajisdahli nijiyalasdvda.|ᎠᎴ ᏧᎦᏔᏥᏍᏓᏟ ᏂᏥᏯᎳᏍᏛᏓ.|I almost stepped on a copperhead.|
|ᎤᎩᏓᏟ|3|Aniyvwiya jugidahli dunadihlgoi.|ᎠᏂᏴᏫᏯ ᏧᎩᏓᏟ ᏚᎾᏗᎵᎪᎢ.|Indians wear feathers on their heads.|
|ᎬᏍᎦᏢᏍᎦ|3|Dagwalela ganosgida gvsgahlvsga.|ᏓᏆᎴᎳ ᎦᏃᏍᎩᏓ ᎬᏍᎦᏢᏍᎦ.|He is hiding a stolen car.|
|ᎠᏍᏆᎶᎦ|3|Digohwelodi yikdlvha asgwalogoi.|ᏗᎪᏪᎶᏗ ᏱᎦᏢᎭ ᎠᏍᏆᎶᎪᎢ.|Whenever you sharpen a pencil, it becomes shorter.|
|ᏓᎬᎾ|3|Dihyahldi danohlvndisgoi dagvna.|ᏗᏯᎵᏗ ᏓᏃᏢᏅᏗᏍᎪᎢ ᏓᎬᎾ.|They make necklaces out of pearls.|
|ᎬᎿᎦᎵᏍᏗ|3|Dohiyu dinvhnagalsdi dudatihnaa.|ᏙᎯᏳ ᏗᏅᎿᎦᎵᏍᏗ ᏚᏓᏘᎾᎠ.|He has a very active family.|
|ᏕᎦᏃᏣᏢᏍᎦ|3|Gohusdi diginojahldi agwaduliha.|ᎪᎱᏍᏗ ᏗᎩᏃᏣᏢᏗ ᎠᏆᏚᎵᎭ.|I want to announce something.|
|ᎠᏏᏛᏂᎭ|3|Gohusdi nuyehldvna akwsihtvniga.|ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ ᎠᏆᏏᏛᏂᎦ.|He slapped me for no reason.|
|ᏧᎸᏫᏍᏓᏁᎯ|3|Iga uniyohisdi junilvhwisdanehi.|ᎢᎦ ᎤᏂᏲᎯᏍᏗ ᏧᏂᎸᏫᏍᏓᏁᎯ.|The workers are on a noon break.|
|ᎦᏁᎫᏗᎠ|3|Jadelohoseis vsgina janegudisgv?|ᏣᏕᎶᎰᏎᎢᏍ ᎤᏍᎩᎾ ᏣᏁᎫᏗᏍᎬ?|Did you find out who was bewitching you?|
|ᎦᎶᎩᎠ|3|Judodagwvda galogisgo uhwisvnvi.|ᏧᏙᏓᏋᏓ ᎦᎶᎩᏍᎪ ᎤᏫᏒᏅᎢ.|He hoes his garden every day.|
|ᏃᏥ|3|Juhyahtena danohlvhdisgoi nohji.|ᏧᏯᏖᎾ ᏓᏃᏢᏗᏍᎪᎢ ᏃᏥ.|They make lumber out of pine.|
|ᎦᎵᏦᏛᏙᏗ|3|Talugisgi gahljotdohdi duhwasga.|ᏔᎷᎩᏍᎩ ᎦᎵᏦᏛᏙᏗ ᏚᏩᏍᎦ.|He's buying some metal roofing.|
|ᎦᏃᎸᎥᏍᎦ|3|Unesahyvdla ganolvvsgo svhiyeyi.|ᎤᏁᏌᏴᏜ ᎦᏃᎸᎥᏍᎪ ᏒᎯᏰᏱ.|Cool winds blow in the evening.|
|ᎠᎬᏍᏉᎠ|3|Wesa yulsdayvhnohna agvsgwosgoi.|ᏪᏌ ᏳᎵᏍᏓᏴᏃᎿ ᎠᎬᏍᏉᏍᎪᎢ.|A cat washes its face after it eats.|
|ᎠᏓᏠᏍᏗ|3|Adadlosdi aginesv Danisdayohihvi.|ᎠᏓᏠᏍᏗ ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.|I got a belt for Christmas.|
|ᎠᏓᏙᎵᏍᏗ|3|Adadolisdi utayohlv ahljadohvsgi.|ᎠᏓᏙᎵᏍᏗ ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.|The preacher asked for prayers.|
|ᎠᎵᏍᏓᏴᏗ|3|Alsdayhdi udananesvhvsdi uduliha.|ᎠᎵᏍᏓᏴᏗ ᎤᏓᎾᏁᏒᎲᏍᏗ ᎤᏚᎵᎭ.|He wants to shop for groceries.|
|ᏗᏴᎩᏍᏗ|3|Dihyvgisdi niduwanhdi dulasuhlvi.|ᏗᏴᎩᏍᏗ ᏂᏚᏩᏅᏗ ᏚᎳᏑᏢᎢ.|He has spurs on his boots.|
|ᎧᏁᎦ|3|Kanegis chiyalinohehdisgv, hlake?|ᎧᏁᎩᏍ ᏥᏯᎵᏃᎮᏗᏍᎬ, ᏝᎨ?|Did he answer when you were speaking to him, or not?|
|ᏐᏁᎵᏁᎢ|3|Sohnelineis yijalsdohdi jaduliha?|ᏐᏁᎵᏁᎢᏍ ᏱᏣᎵᏍᏙᏗ ᏣᏚᎵᎭ?|Do you want to be the ninth?|
|ᎤᏁᎬᎭᎢ|3|Unegvha nidvginawitdi agwvkewsvi.|ᎤᏁᎬᎭ ᏂᏛᎩᎾᏫᏘᏗ ᎠᏋᎨᏫᏒᎢ.|I forgot to bring a blanket.|
|ᎠᏁᏟᏗᎭ|3|Dagwalela uhnigisdohdi anehldiha.|ᏓᏆᎴᎳ ᎤᏂᎩᏍᏙᏗ ᎠᏁᏟᏗᎭ.|He's trying to start the car.|
|ᎤᏙᏓᏆᏍᎬᎢ, ᎤᎾᏙᏓᏆᏍᎬᎢ|3|Dehilawijegois Unadodagwasgv iga?|ᏕᎯᎳᏫᏤᎪᎢᏍ ᎤᎾᏙᏓᏆᏍᎬ ᎢᎦ?|Do you go to church on Sunday?|
|ᏓᎿᏩᎢᏴᎠ|3|Digadulida duhnuwv duhnawaiyvsvi.|ᏗᎦᏚᎵᏓ ᏚᏄᏮ ᏚᎿᏩᎢᏴᏒᎢ.|He changed his wet clothes.|
|ᏓᎧᏁᏱᎭ|3|Dulasuhlv dukanehyvhv dulasulesa.|ᏚᎳᏑᏢ ᏚᎧᏁᏴᎲ ᏚᎳᏑᎴᏌ.|He untied his shoes when he took them off.|
|ᎪᏢᏍᎦ|3|Gayohligwu yulsdayvhna, gohlvsgoi|ᎦᏲᏟᏊ ᏳᎵᏍᏓᏴᎾ, ᎪᏢᏍᎪᎢ|If he eats just a little, he gets full.|
|ᎤᏔᏝᏬᏍᎦ|3|Gohusdi agoselvnela, utahlawosvi.|ᎪᎱᏍᏗ ᎠᎪᏎᎸᏁᎳ, ᎤᏔᏝᏬᏒᎢ.|When he was called names, he becameenraged.|
|ᎦᏬᏂᏓ|3|Hlesdi gawonida hyatvdasdisgesdi.|ᏞᏍᏗ ᎦᏬᏂᏓ ᏯᏛᏓᏍᏗᎨᏍᏗ.|Don't be listening to gossip.|
|ᎠᏰᎵᏍᏗ, ᎭᏰᎵᏍᏗ|3|Jinoalidohv agiyohuselv hayelsdi.|ᏥᏃᎠᎵᏙᎲ ᎠᎩᏲᎱᏎᎸ ᎭᏰᎵᏍᏗ.|I lost my knife while hunting.|
|ᎠᏍᎪᎵᏰᎠ|3|Jiskoli hasgoliya, agwehisdaneha.|ᏥᏍᎪᎵ ᎭᏍᎪᎵᏯ, ᎠᏇᎯᏍᏓᏁᎭ.|Rub my head, it hurts.|
|ᏗᏁᏍᎨᏍᎩ|3|Ktanvdohdi uhwasvsga dihnesgesgi.|ᎬᏔᏅᏙᏗ ᎤᏩᏒᏍᎦ ᏗᏁᏍᎨᏍᎩ.|A carpenter is buying some tools.|
|ᎠᏠᏍᎦ|3|Oginvsa oginalasgalvha, jihlosvi.|ᎣᎩᏅᏌ ᎣᎩᎾᎳᏍᎦᎸᎭ, ᏥᏠᏒᎢ.|When we played ball by ourselves, I beat him.|
|ᎤᏩᎫᎴᎦ|3|Tsgwisdi yulsdayvhna, uwakulegoi.|ᏥᏈᏍᏗ ᏳᎵᏍᏓᏴᎿ, ᎤᏩᎫᎴᎪᎢ.|Whenever he eats a lot, he belches.|
|ᎢᎪᎯᏓ|3|Widaniyelisgv igohida wagwedolvi.|ᏫᏓᏂᏰᎵᏍᎬ ᎢᎪᎯᏓ ᏩᏇᏙᎸᎢ.|I stayed there until they adjourned.|
|ᎠᏍᏆᎨᏂ|3|Asgwageni uwehisdane udanawstanvi.|ᎠᏍᏆᎨᏂ ᎤᏪᎯᏍᏓᏁ ᎤᏓᎾᏫᏍᏔᏅᎢ.|His side is hurting from running.|
|ᎠᏠᏗ|3|Dihlohdi digwanehldohdi agilvkwdi.|ᏗᏠᏗ ᏗᏆᏁᏟᏙᏗ ᎠᎩᎸᏉᏗ.|I like to play records.|
|ᎦᏃᎭᎵᏙᎯ|3|Ganohalidohi nidunadiwidi dlogesi.|ᎦᏃᎭᎵᏙᎯ ᏂᏚᎾᏗᏫᏍᏗ ᏠᎨᏏ.|A hunter is going across a field.|
|ᎧᎾᎷᏍᎬᎢ|3|Kanalusgv ulehwisdanelv dagwalela.|ᎧᎾᎷᏍᎬ ᎤᎴᏫᏍᏓᏁᎸ ᏓᏆᎴᎳ.|His car stalled going uphill.|
|ᎤᏍᏓᏴᎲᏍᎩ|3|Usdayvhvsgi udetiyisgv usdayvhnvi.|ᎤᏍᏓᏴᎲᏍᎩ ᎤᏕᏘᏱᏍᎬ ᎤᏍᏓᏴᏅᎢ.|He cooked for his wife on his birthday.|
|ᎦᏗᏆᎸᏕᏯᏍᏗᎭ|3|Eligwus hyidigwalvdeysda gagwatvi?|ᎡᎵᏊᏍ ᏱᏗᏆᎸᏕᏯᏍᏓ ᎦᏆᏛᎢ?|Can you spin the wheel?|
|ᎦᏬᎯᎵᏴᎠ|3|Gohusdi ejatvdvhnv, hawohiliyvsvi.|ᎪᎱᏍᏗ ᎡᏣᏛᏛᏅ, ᎭᏬᎯᎵᏴᏒᎢ.|When you're asked a question, answer.|
|ᎧᏃᎮᎭ|3|Hlesdi jihihnohehli nulstanidolvi.|ᏞᏍᏗ ᏥᎯᏃᎮᏟ ᏄᎵᏍᏔᏂᏙᎸᎢ.|Don't tell what happened.|
|ᎬᏃᏌᏍᎦ|3|Hyahteno hvnosahvi nijahnigidagwu.|ᏯᏖᏃ ᎲᏃᏌᎲᎢ ᏂᏣᏂᎩᏓᏊ.|Sweep the floor before you go.|
|ᎠᎾᏓᎪᎾᏘᏗᏍᎬᎢ|3|Junoduhi anadagonatdisgv uteladvi.|ᏧᏃᏚᎯ ᎠᎾᏓᎪᎾᏘᏗᏍᎬ ᎤᏖᎳᏛᎢ.|He entered a beauty contest.|
|ᎠᏛᎯᏍᏗᎭ|3|Junoduhi anijilvsgi datvhisdisgoi.|ᏧᏃᏚᎯ ᎠᏂᏥᎸᏍᎩ ᏓᏛᎯᏍᏗᏍᎪᎢ.|He grows beautiful flowers.|
|ᎪᏍᏛᏂᎭ|3|Sgwahlesdi uniyohuselv uwosdvnila.|ᏍᏆᏞᏍᏗ ᎤᏂᏲᎱᏎᎸ ᎤᏬᏍᏛᏂᎳ.|They lost the ball when he batted.|
|ᎠᏍᏆᏞᎠ|3|Sgwahlesdi wagadinela usgwahlesvi.|ᏍᏆᏞᏍᏗ ᏩᎦᏗᏁᎳ ᎤᏍᏆᏞᏒᎢ.|When the ball was thrown to him, he caught it.|
|ᏗᏓᏅᏙᏍᏗ|3|Utvsohnv didanhtosdi deganvgaliha.|ᎤᏛᏐᏅ ᏗᏓᏅᏙᏍᏗ ᏕᎦᏅᎦᎵᎠᎭ.|An old man is cleaning some dentures.|
|ᎦᎴᏂ|3|Dinileni dunitalesvi junadliadvdii.|ᏗᏂᎴᏂ ᏚᏂᏔᎴᏒᎢ ᏧᎾᏟᎠᏛᏗᎢ.|They pierced their ears to wear earrings.|
|ᎤᏙᏓᏆᏓ|3|Udodagwada ganohalidoho yunohalena.|ᎤᏙᏓᏆᏓ ᎦᏃᎭᎵᏙᎰ ᏳᏃᎭᎴᎾ.|He hunts all day when he goes hunting.|
|ᎤᏰᎶᎢᏍᏗ|3|Uyeloisdi ulehwisdohtanv dagwalela.|ᎤᏰᎶᎢᏍᏗ ᎤᎴᏫᏍᏙᏔᏅ ᏓᏆᎴᎳ.|He stopped the car suddenly.|
|ᎦᏇᏅᏍᎦ|3|Danisdayohihv adahnehdi jikwenvsga.|ᏓᏂᏍᏓᏲᎯᎲ ᎠᏓᏁᏗ ᏥᏇᏅᏍᎦ.|l am wrapping a Christmas gift.|
|ᎠᎵᏍᏕᎵᎭ|3|Gahljode danahnesgesgv alsdelisgoi.|ᎦᎵᏦᏕ ᏓᎾᏁᏍᎨᏍᎬ ᎠᎵᏍᏕᎵᏍᎪᎢ.|He helps in the building of houses.|
|ᏓᏴᎩᎠ|3|Hlesdi jidoskiyvgi galisdayvhvsgvi.|ᏞᏍᏗ ᏥᏙᏍᎩᏴᎩ ᎦᎵᏍᏓᏴᎲᏍᎬᎢ.|Don't tickle me while I'm eating.|
|ᎠᎦᏙᏍᏗ|3|Jalvkwdis adayvlatvsgi haktosdohdi?|ᏣᎸᏉᏗᏍ ᎠᏓᏴᎳᏛᏍᎩ ᎭᎦᏙᏍᏙᏗ?|Do you like to watch television?|
|ᎠᎬᎭᎷᏯᏍᎦ|3|Juganhdena gvhnisdohdi higvhaluhya.|ᏧᎦᏅᏕᎾ ᎬᏂᏍᏙᏗ ᎯᎬᎭᎷᏯ.|Chop up some cabbage to cook.|
|ᏗᎧᏃᎩᏍᏗ|3|Dikanogisdi danhdisgo yidunihnogisa.|ᏗᎧᏃᎩᏍᏗ ᏓᏅᏗᏍᎪ ᏱᏚᏂᏃᎩᏌ.|They use musical instruments when they sing.|
|ᏙᏓᏉᏅᎢ|3|Dodagwahnv svnadodagwasdi dvgaluhji.|ᏙᏓᏆᏅ ᏒᎾᏙᏓᏆᏍᏗ ᏛᎦᎷᏥ.|He's returning a week from Monday.|
|ᏓᏕᏲᎲᏍᎦ|3|Gogi danadehlohgwasgv dadehyohvsgoi.|ᎪᎩ ᏓᎾᏕᏠᏆᏍᎬ ᏓᏕᏲᎲᏍᎪᎢ.|He teaches summer school.|
|ᎤᎵᏥᏍᏆᏁᏓ|3|Josdadahnvhli ulijisgwaneda ustihga.|ᏦᏍᏓᏓᏅᏟ ᎤᎵᏥᏍᏆᏁᏓ ᎤᏍᏘᎦ.|My brother has curly hair.|
|ᏓᎴᏗᎭ|3|Unulvhvsgesdi julehdi dehiyaletanvi.|ᎤᏄᎸᎲᏍᎨᏍᏗ ᏧᎴᏗ ᏕᎯᏯᎴᏔᏅᎢ.|If he can't get up, help him up.|
|ᎠᎵᏍᏕᎸᏙᏗ|3|Alsdehldohdi utayohlv didehlohgwasgi.|ᎠᎵᏍᏕᎸᏙᏗ ᎤᏔᏲᏢ ᏗᏕᎶᏆᏍᎩ.|The student asked for assistance.|
|ᏗᏓᏂᏱᏍᎩ|3|Didaniyisgi oginahlinohehdi agwaduli.|ᏗᏓᏂᏱᏍᎩ ᎣᎩᎾᏟᏃᎮᏗ ᎠᏆᏚᎵ|I want to talk with a policeman.|
|ᏚᏯᏪᎦ|3|Duyawegos yiuluhj julvhwisdanelidolv?|ᏚᏯᏪᎪᏍ ᏱᎤᎷᏣ ᏣᎸᏪᏍᏓᏁᎵᏙᎸ?|Is he tired when he returns from work?|
|ᎦᏃᏍᎩᏍᎩ|3|Ganosgisgi ajiwahtvhtanv ganosgisgvi.|ᎦᏃᏍᎩᏍᎩ ᎠᏥᏩᏛᏔᏅ ᎦᏃᏍᎩᏍᎬᎢ.|A thief was caught stealing.|
|ᏔᎷᎩᏍᎩ ᏗᎧᏅᏫᏍᎩ|3|Talugisgis dikanvwisgi dusdadahnvhli?|ᏔᎷᎩᏍᎩᏍ ᏗᎧᏅᏫᏍᎩ ᏚᏍᏓᏓᏅᏟ?|Is your brother a welder?|
|ᎤᏍᏆᏂᎩᏗ|3|Usgwanikdi anihnohehlvsgo yuniwonisa.|ᎤᏍᏆᏂᎩᏗ ᎠᏂᏃᎮᎸᏍᎪ ᏳᏂᏬᏂᏌ.|They talk about interesting things when they talk.|
|ᏚᏓᏘᎿᎥᎢ|3|Dinalasgalisgv dutihnvsv dudatihnavi.|ᏗᎾᎳᏍᎦᎵᏍᎬ ᏚᏘᏅᏒ ᏚᏓᏘᎿᎥᎢ.|He took his family to a ball game.|
|ᎤᏪᎯᏍᏓᏁᎭ|3|Yidusihtvnila, uwoyeni uwehisdanehoi.|ᏱᏚᏏᏛᏂᎳ, ᎤᏪᏲᏂ ᎤᏪᎯᏍᏓᏁᎰᎢ.|When he applauds, his hand hurts.|
|ᎫᏩᏲᎢ|3|Kuwayo widulvhwisdaneho josdadahnvhli.|ᎫᏩᏲ ᏫᏚᎸᏫᏍᏓᏁᎰ ᏦᏍᏓᏓᏅᏟ.|My brother works at Pryor.|
|ᎠᏂᏁᎵ|3|Junadehlohgwasdi dadehyohvsgo anineli.|ᏧᎾᏕᏠᏆᏍᏗ ᏓᏕᏲᎲᏍᎪ ᎠᏂᏁᎵ.|His husband teaches at school.|
|ᏕᎧᏃᎩᎠ|3|Uhljvdagwada dunihnogisv dinihnogisgi.|ᎤᎵᏨᏓᏆᏓ ᏚᏂᏃᎩᏒ ᏗᏂᏃᎩᏍᎩ.|The singers sang all night.|
|ᎠᏕᎳᏗᏗᎢ, ᎠᏕᎳᏧᏂᏗᎢ|3|Yijadulas adeldiyhdi dijalvhwisdanhdi?|ᏱᏣᏚᎳᏍ ᎠᏕᎵᏗᏗ ᏗᏣᎸᏫᏍᏓᏁᏗ?|Would you like to work in a bank?|
|ᎤᏛᏓᏍᏗ|3|Ahyvdagwalosgv akwtvdasdohdi agilvkwdi.|ᎠᏴᏓᏆᎶᏍᎬ ᎠᏆᏛᏓᏍᏙᏗ ᎠᎩᎸᏉᏗ.|I like to listen to thunder.|
|ᎤᏙᏓᏈᏕᎾ, ᎤᎾᏙᏓᏈᏕᎾ|3|Iyvdaha Unadodagwidena dagilvhwisdanehoi.|ᎢᏴᏓᎭ ᎤᎾᏙᏓᏈᏕᎾ ᏓᎩᎸᏫᏍᏓᏁᎰᎢ.|Sometimes I work on Saturday.|
|ᏕᎬᏗᏰᎠ|3|Yunalsdayvhnohnagwu degvdiyesgo ditelidoi.|ᏳᎾᎵᏍᏓᏰᏃᎿᏊ ᏕᎬᏗᏰᏍᎪ ᏗᏖᎵᏙᎢ.|He washes the dishes immediately after they finish eating.|
|ᎤᏓᏩᏗᏍᎬᎢ|3|Udawadisgv unadawesolvsdi junilvhwisdanehi.|ᎤᏓᏩᏗᏍᎬ ᎤᎾᏓᏪᏐᎸᏍᏗ ᏧᏂᎸᏫᏍᏓᏁᎯ.|The workers are resting in the shade.|
|ᎤᏙᏓᏉᏅᎢ, ᎤᎾᏙᏓᏉᏅᎢ|3|Unadodagwohnv dvnalenvhi danadehlohgwasgvi.|ᎤᎾᏙᏓᏉᏅ ᏛᎾᎴᏅᎯ ᏓᎾᏕᏠᏆᏍᎬᎢ.|They're going to start school Monday.|
|ᎠᏑᎳᎢᏴᎠ|3|Dlogesi yidodayulvhwisdaneli, asulaiyvsgoi.|ᏠᎨᏏ ᏱᏙᏓᏳᎸᏫᏍᏓᏁᎵ, ᎠᏑᎳᎢᏴᏍᎪᎢ.|Whenever he is going to work in the garden, he changes his pants.|
|ᎠᎳᏍᎦᎵᏍᎩ|3|Judodagwvda analsinahvsdisgo analasgalisgi.|ᏧᏙᏓᏋᏓ ᎠᎾᎵᏏᎾᎲᏍᏗᏍᎪ ᎠᎾᎳᏍᎦᎵᏍᎩ.|The ball players practice every day.|
|ᎠᏓᏁᏟᏴᏍᏗᏍᎩ|3|Anadanedliyvsdisgi danhtihneho analasgalisgi.|ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ ᏓᎾᏘᏁᎰ ᎠᎾᎳᏍᎦᎵᏍᎩ.|The ball players always have substitutes.|
|ᏗᏓᏍᏙᏰᏍᎩ|3|Dinadasdoyesgi junadehlohgwasdi dudehlohglvavɂi.|ᏗᎾᏓᏍᏙᏰᏍᎩ ᏧᎠᏕᏠᏆᏍᏗ ᏚᏕᏠᏆᎥᎢ.|He went to a school for barbers.|
|ᏙᏳ|4|Doyu uhyvdla doyi, doka?|ᏙᏳ ᎤᏴᏜ ᏙᏱ, ᏙᎧ?|It's really cold outside, isn't it?|
|ᎬᏃᏓ|4|Gvhnodas na inada jigana?|ᎬᏃᏓᏍ Ꮎ ᎢᎾᏓ ᏥᎦᎾ?|Is that snake lying there alive?|
|ᏚᏯ|4|Gado unsdi tuya hia?|ᎦᏙ ᎤᎾᏍᏗ ᏚᏯ ᎯᎠ?|What kind of beans are these?|
|ᏄᏯᎩ|4|Hila iyv tesi Nuyagi?|ᎯᎳ ᎢᏴ ᏖᏏ ᏄᏯᎩ?|When are you going to New York?|
|ᎦᎾᎵ|4|Gago na ganali asgaya?|ᎦᎪ Ꮎ ᎦᎾᎵ ᎠᏍᎦᏯ?|Who is that lazy man?|
|ᎯᏍᎩ|4|Hisgi nania wahga dejinahlaa.|ᎯᏍᎩ ᎾᏂᎠ ᏩᎦ ᏕᏥᎾᏝᎠ.|I have a total of five cows.|
|Ꮭ ᎩᎶ|4|Hla kilo yijigowhti jiyoligi.|Ꮭ ᎩᎶ ᏱᏥᎪᏩᏘ ᏥᏲᎵᎩ.|I see no one that I know.|
|ᏧᎳᏍᎩ|4|Uweti julasgi uha eji.|ᎤᏪᏘ ᏧᎳᏍᎩ ᎤᎭ ᎡᏥ.|My mother has an old cast iron pot.|
|ᏅᏃᎯ|4|Nvnohi ayehli ai kiloi.|ᏅᏃᎯ ᎠᏰᏟ ᎠᎢ ᎩᎶᎢ.|Someone is walking in the middle of the road.|
|ᎠᏗᎠ|4|Ahani dajidi hia suhdi.|ᎠᎭᏂ ᏓᏥᏗ ᎯᎠ ᏑᏗ.|I am going to lay this fishing pole here.|
|ᏓᎲᏛᏍᎦ|4|Dije ada duhvtanv osii.|ᏗᏤ ᎠᏓ ᏚᎲᏔᏅ ᎣᏏᎢ.|He put green wood into the stove.|
|ᎤᎵᏏᎦ|4|Doyu ulsihga kohi usvi.|ᏙᏳ ᎤᎵᏏᎦ ᎪᎯ ᎤᏒᎢ.|It's really dark tonight.|
|ᎦᏰᎠ|4|Gado usdi gahyea jisdu?|ᎦᏙ ᎤᏍᏗ ᎦᏰᎠ ᏥᏍᏚ?|What is the rabbit eating?|
|ᎤᏅᏥᏓ|4|Hila nika yvwi unvjida?|ᎯᎳ ᏂᎧ ᏴᏫ ᎤᏅᏥᏓ?|How big is the human brain?|
|ᎠᏍᎦᎭ|4|Na utana gihli jisgaha.|Ꮎ ᎤᏔᎾ ᎩᏟ ᏥᏍᎦᎭ.|I'm afraid of that big dog.|
|ᎠᎭᏫ, ᎠᏫ|4|Ahwi hawiya osda agisdi.|ᎠᏫ ᎭᏫᏯ ᎣᏍᏓ ᎠᎩᏍᏗ.|Deer meat is good to eat.|
|ᎠᏥᎾ|4|Ajina nigohilv ije gesoi|ᎠᏥᎾ ᏂᎪᎯᎸ ᎢᏤ ᎨᏐᎢ|A cedar is always green|
|ᏩᎴᎳ|4|Walela hla anedohi yigi.|ᏩᎴᎠ Ꮭ ᎠᏁᏙᎯ ᏱᎩ|Hummingbirds cannot walk.|
|ᎧᎵᎢ|4|Ama kali adlisdi svdoni.|ᎠᎹ ᎧᎵ ᎠᏟᏍᏗ ᏒᏙᏂ.|The bucket is full of water.|
|ᎠᎢ|4|Didanelv didla wai kilo.|ᏗᏓᏁᎸ ᏗᏜ ᏩᎢ ᎩᎶ.|Someone is walking toward the building.|
|ᎤᏗᏞᎦ|4|Doyu udihlehga kohi iga.|ᏙᏳ ᎤᏗᏞᎦ ᎪᎯ ᎢᎦ.|It's really hot today.|
|ᎠᏯᎠ|4|Gado usdi kanvsulv ayaa?|ᎦᏙ ᎤᏍᏗ ᎧᏅᏑᎸ ᎠᏯᎠ?|Which room is he in?|
|ᏓᏍᏚᏟᎠ|4|Gagama dakiwisv ama dejisdudlia|ᎦᎦᎹ ᏓᎩᏫᏒ ᎠᎹ ᏕᏥᏍᏚᏟᎠ.|I am sprinkling water on my cucumbers.|
