id   |definitiond                                                                                                    |nounadjpluralsyllf|sentenceenglishs                                                                                                                                                             |sentenceq                                                                                  |sentencesyllr                                                                                  |syllabaryb|vfirstpresh    |vsecondimpersylln|vthirdinfsyllp|vthirdpastsyllj|vthirdpressylll|entrytone              |nounadjpluraltone      |vfirstprestone                             |vsecondimpertone                   |vthirdinftone      |vthirdpasttone       |vthirdprestone        |source
100171|He is kicking up his leg                                                                                                                                    |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏣᏯᎩᎠ          |ᎦᏣᏯᎩᎠ            |ᎭᏣᏯᎩ             |ᎤᏣᏯᎩᏍᏗ        |ᎤᏣᏯᎩᏒᎢ         |ᎠᏣᏯᎩᏍᎪᎢ        |atsạɂyạkiɂa                             |                             |gatsạɂyạkiɂa                                     |hatsạɂyạki                                |utsạɂyạkisdi              |utsạɂyạkisv²³ɂi              |atsạɂyạkisgo³ɂi               |rrd
100172|He is sticking it.; He is pricking it                                                                                                                       |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏣᏲᎵᎭ          |ᏥᏣᏲᎵᎭ            |ᎯᏣᏲᎭᎦ            |ᎤᏣᏲᏍᏗ         |ᎤᏣᏲᎸᎢ          |ᎠᏣᏲᎵᎰᎢ         |ạtsạyọ³hlịha                            |                             |tsịtsạyọ³lɂịha                                   |hịtsạyọ³haga                              |utsạyọ³sdi                |utsạyọ³hlv²³ɂi               |ạtsạyọ³hlịho³ɂi               |rrd
100173|New year                                                                                                                                                    |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏤ ᎤᎾᏕᏘᏱᏍᎬᎢ    |                 |                 |              |               |               |ạtse ụnạdetịyịsgvɂi                     |                             |                                                 |                                          |                          |                             |                              |rrd
100175|New moon                                                                                                                                                    |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏤ ᏅᏙ          |                 |                 |              |               |               |ạtse nvdo                               |                             |                                                 |                                          |                          |                             |                              |rrd
100174|New.; Green (of plants)                                                                                                                                     |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏤᎯ            |                 |                 |              |               |               |ạtsehi                                  |                             |                                                 |                                          |                          |                             |                              |rrd
72430 |grave                                                                                                                                                       |ᏓᏤᎵᏍᏛᎢ            |She put flowers on the <u>grave</u>.                                                                                                                                         |<u>Ajelisdv</u> duhlvnv anijilvsgi.                                                                                |<u>ᎠᏤᎵᏍᏛ</u> ᏚᎸᏅ ᎠᏂᏥᎸᏍᎩ.                                                                       |ᎠᏤᎵᏍᏛᎢ         |                 |                 |              |               |               |a1je23li32sdv4?i                        |da1je23li32sdv4?i            |                                                 |                                          |                          |                             |                              |ced
72431 |he's acting like him                                                                                                                                        |                  |<u>He is acting like</u> an Indian.                                                                                                                                          |Ayvwiya <u>ajelvsga</u>.                                                                                           |ᎠᏴᏫᏯ <u>ᎠᏤᎸᏍᎦ</u>.                                                                             |ᎠᏤᎸᏍᎦ          |ᎦᏤᎸᏍᎦ            |ᎭᏤᎸᎾ             |ᎤᏤᎸᏗ          |ᎤᏤᎸᏅᎢ          |ᎠᏤᎸᏍᎪᎢ         |a1je2lv2sga                             |                             |ga.2je2lv1sga                                    |ha.2je2lv23na                             |u2jehl2di                 |u1je2lv2hnv23?i              |a1je2lv2sgo3?i                |ced
100176|Apron                                                                                                                                                       |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏤᏌᏙ           |                 |                 |              |               |               |ạtsesạdo                                |                             |                                                 |                                          |                          |                             |                              |rrd
72432 |mattress                                                                                                                                                    |ᏗᏤᏍᏙ              |The boys are wrestling on the <u>mattress</u>.                                                                                                                               |<u>Ajesdo</u> ganav anahnehihv anichuja.                                                                           |<u>ᎠᏤᏍᏙ</u> ᎦᎾᎥ ᎠᎾᏁᎯᎲ ᎠᏂᏧᏣ.                                                                    |ᎠᏤᏍᏙ           |                 |                 |              |               |               |a.2je2sdo                               |di2je2sdo                    |                                                 |                                          |                          |                             |                              |ced
100177|Mattress                                                                                                                                                    |                  |I say to thee, Rise, and take up <u>thy couch</u>, and go away to thy house;’                                                                                                |[ᎹᎦ 2:4]                                                                                                           |ᎬᏲᏎᎭ, ᏔᎴᎲᎦ, ᎠᎴ ᎯᎾᎩ <u>ᏣᏤᏍᏙ</u>, ᎠᎴ ᏗᏤᏅᏒ ᏫᎶᎯ.                                                   |ᎠᏤᏍᏙ           |                 |                 |              |               |               |ạtsẹsdo                                 |                             |                                                 |                                          |                          |                             |                              |rrd
100178|Smooth alder.; Hazel alder.; biol. <em>Alnus serrulata.</em>                                                                                                |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏤᏓ            |                 |                 |              |               |               |ahtsehd                                 |                             |                                                 |                                          |                          |                             |                              |rrd
100179|He is taking revenge on him                                                                                                                                 |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏤᏤᎭ           |ᏥᏯᏤᏤᎭ            |ᎯᏯᏤᏥᏏ            |ᎤᏤᏤᏗ          |ᎤᏤᏤᎸᎢ          |ᎠᏤᏤᎰᎢ          |ạtse³cheha                              |                             |tsiyạtse³dsɂeha                                  |hiyạtse³dsɂịsi                            |utse³chehdi               |utse³chẹɂlv²³ɂi              |ạtse³cheho³ɂi                 |rrd
72433 |1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)|                  |<u>He's spilling water</u> on the ground. When he' s got a lot of money, <u>he just wastes it</u>.                                                                           |Gadohi <u>ajewia</u> ama. Tsgwisdi adela yiduha, <u>dajewisgoigwu</u>.                                             |ᎦᏙᎯ <u>ᎠᏤᏫᎠ</u> ᎠᎹ. ᏥᏈᏍᏗ ᎠᏕᎳ ᏱᏚᎭ, <u>ᏓᏤᏫᏍᎪᎢᏊ</u>.                                              |ᎠᏤᏫᎠ           |ᎦᏤᏫᎠ             |ᎭᏤᏩ              |ᎤᏤᏩᏍᏗ         |ᎤᏤᏮᎢ           |ᎠᏤᏫᏍᎪᎢ         |a1je23wi.3?a                            |                             |ga.2je23wi.3?a                                   |ha.2je23wa                                |u2je23wa32sdi             |u1je3wv23?i                  |a1je23wi32sgo3?i              |ced
100180|He is putting it (a liquid) into a container                                                                                                                |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎠ            |ᏥᏥᎠ              |ᎯᏣ               |ᎤᏥᏍᏗ          |ᎤᏥᏅᎢ           |ᎠᏥᏍᎪᎢ          |ạtsị³ɂa                                 |                             |tsịtsị³ɂa                                        |hịtsa                                     |utsisdi                   |udsɂnv²³ɂi                   |ạtsih³sgo³ɂi                  |rrd
100181|He is putting liquid into a liquid                                                                                                                          |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎠ            |ᏥᏥᎠ              |ᎯᏣ               |ᎤᏥᏍᏗ          |ᎤᏨᎢ            |ᎠᏥᏍᎪᎢ          |ạtsịɂa                                  |                             |tsịtsịɂa                                         |hịtsa                                     |utsisdi                   |utsv²³ɂi                     |ạtsisgo³ɂi                    |rrd
72685 |he's lying                                                                                                                                                  |                  |Are you lying to me?                                                                                                                                                         |Sgwatsgonehas?                                                                                                     |ᏍᏆᏥᎪᏁᎭᏍ?                                                                                       |ᎠᏥᎪᎥᏍᎦ         |ᎦᏥᏍᎪᎥᏍᎦ          |ᎭᏥᎪᎥᎦ            |ᎤᏥᎪᏗ          |ᎤᏥᎪᏅᎢ          |ᎠᏥᎪᎥᏍᎪᎢ        |a.2tsgo3?v.2sga                         |                             |ga.2ji1sgo3?v.2sga                               |ha.2tsgo.3?v1ga                           |u2tsgo1di                 |u1tsgo3nv23?i                |a1tsgo3?v.2sgo3?i             |ced
100182|He is lying.; He is bearing false witness                                                                                                                   |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎪᎥᏍᎦ         |ᎦᏥᏍᎪᎥᏍᎦ          |ᎭᏥᎪᎥᎦ            |ᎤᏥᎪᏗ          |ᎤᏥᎪᏅᎢ          |ᎠᏥᎪᎥᏍᎪᎢ        |atsgọɂvsga                              |                             |gadsiɂsgọɂvsga                                   |hatsgọɂvga                                |utsgodi                   |utsgọɂnv²³ɂi                 |atsgọɂvsgo³ɂi                 |rrd
72434 |fire                                                                                                                                                        |                  |At the stomp dance grounds they dance around the <u>fire</u>.                                                                                                                |<u>Ajila</u> ahv anadeyoho analsgisgv gatiyoi.                                                                     |<u>ᎠᏥᎳ</u> ᎠᎲ ᎠᎾᏕᏲᎰ ᎠᎾᎵᏍᎩᏍᎬ ᎦᏘᏲᎢ.                                                              |ᎠᏥᎳ            |                 |                 |              |               |               |a.2ji23la                               |                             |                                                 |                                          |                          |                             |                              |ced
72435 |watercress                                                                                                                                                  |                  |Let's go look for some <u>watercress</u>.                                                                                                                                    |Amayi ehi <u>ajila</u> igihyaluga.                                                                                 |ᎠᎹᏱ ᎡᎯ <u>ᎠᏥᎳ</u> ᎢᎩᏯᎷᎦ.                                                                       |ᎠᏥᎳ            |                 |                 |              |               |               |a.2ji23la                               |                             |                                                 |                                          |                          |                             |                              |ced
100183|Mustard                                                                                                                                                     |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎳ            |                 |                 |              |               |               |atsila                                  |                             |                                                 |                                          |                          |                             |                              |rrd
100184|Fire                                                                                                                                                        |                  |The food is cooking in the pot in <u>the fire</u>.                                                                                                                           |[King pg 114]                                                                                                      |<u>ᎠᏥᎳᏃ</u> ᎬᏗ ᏧᎳᏍᎩ ᎬᏂᏍᎦ ᎠᎵᏍᏓᏴᏗ.                                                               |ᎠᏥᎳ            |                 |                 |              |               |               |ạtsila                                  |                             |                                                 |                                          |                          |                             |                              |rrd
72436 |Catholic                                                                                                                                                    |                  |A <u>Catholic</u> spoke at the meeting.                                                                                                                                      |<u>Ajila Gehlohi</u> uwonisv danadlosgvi.                                                                          |<u>ᎠᏥᎳ ᎨᏠᎯ</u> ᎤᏬᏂᏒ ᏓᎾᏠᏍᎬᎢ.                                                                    |ᎠᏥᎳ ᎨᏠᎯ        |                 |                 |              |               |               |A.2ji23la Ge3hlo.2hi                    |                             |                                                 |                                          |                          |                             |                              |ced
72437 |match                                                                                                                                                       |ᏗᏥᎳ ᏗᎪᏢᏗ          |Give me a <u>match</u>.                                                                                                                                                      |<u>Ajila gohlvhdi</u> sgidisi.                                                                                     |<u>ᎠᏥᎳ ᎪᏢᏗ</u> ᏍᎩᏗᏏ.                                                                           |ᎠᏥᎳ ᎪᏢᏗ        |                 |                 |              |               |               |a.2ji23la go3hlvh2di                    |di2ji23la di.2go3hlvh2di     |                                                 |                                          |                          |                             |                              |ced
100186|A railroad train                                                                                                                                            |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎳ ᏓᏆᎴᎷ       |                 |                 |              |               |               |ạtsilạ dạgwạlelu                        |                             |                                                 |                                          |                          |                             |                              |rrd
100185|A fireplace                                                                                                                                                 |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎳᎯ           |                 |                 |              |               |               |ạtsilahi                                |                             |                                                 |                                          |                          |                             |                              |rrd
100187|A corn tassel is falling off.; A flowers is falling off                                                                                                     |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎳᏙᎣᏍᎦ        |-                |ᏩᏥᎳᏙᎣᎯ           |ᎤᏥᎳᏙᎣᎯᏍᏗ      |ᎤᏥᎳᏙᎣᏒᎢ        |ᎠᏥᎳᏙᎣᏍᎪᎢ       |ạtsilạdọɂosga                           |                             |                                                 |wạtsilạdọɂohi                             |utsilạdọɂohịsdi           |utsilạdọɂosv²³ɂi             |ạtsilạdọɂosgo³ɂi              |rrd
100188|Fireside                                                                                                                                                    |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎳᏳᎶᏗ         |                 |                 |              |               |               |ạtsilayuhldi                            |                             |                                                 |                                          |                          |                             |                              |rrd
100189|He is measuring it                                                                                                                                          |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎶᎠ           |ᎦᏥᎶᎠ             |ᎭᏥᎶᏣ             |ᎤᏥᎶᏍᏗ         |ᎤᏥᎶᎥᎢ          |ᎠᏥᎶᏍᎪᎢ         |atsihlọ³a                               |                             |gatsịɂlọ³a                                       |hatsihlọtsa                               |utsihlosdi                |utsihlọɂv²³ɂi                |atsihlọsgo³ɂi                 |rrd
100190|Yardstick.; Ruler                                                                                                                                           |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎶᏍᏗ          |                 |                 |              |               |               |ạtsịlosdi                               |                             |                                                 |                                          |                          |                             |                              |rrd
72438 |in the fire                                                                                                                                                 |                  |He threw coal <u>into the fire</u>.                                                                                                                                          |<u>Ajilvhi</u> wudinvsv chinosga.                                                                                  |<u>ᎠᏥᎸᎯ</u> ᏭᏗᏅᏒ ᏥᏃᏍᎦ.                                                                         |ᎠᏥᎸᎯ           |                 |                 |              |               |               |a.2ji2lv4hi                             |                             |                                                 |                                          |                          |                             |                              |ced
72439 |it's blooming                                                                                                                                               |                  |Flowers <u>bloom</u> in the spring.                                                                                                                                          |Gogeyi <u>anijilvsgo</u> anijilvsgi.                                                                               |ᎪᎨᏱ <u>ᎠᏂᏥᎸᏍᎪ</u> ᎠᏂᏥᎸᏍᎩ.                                                                      |ᎠᏥᎸᏍᎦ          |                 |                 |ᎤᏥᎸᏗ          |ᎤᏥᎸᏅᎢ          |ᎠᏥᎸᏍᎪᎢ         |a1ji2lv2sga                             |                             |                                                 |                                          |u2jihl2di                 |u1ji2lv2hnv23?i              |a1ji2lv2sgo3?i                |ced
72440 |flower                                                                                                                                                      |ᎠᏂᏥᎸᏍᎩ            |Someone gave her some <u>flowers</u>.                                                                                                                                        |<u>Anijilvsgi</u> dunvsi kiloi                                                                                     |<u>ᎠᏂᏥᎸᏍᎩ</u> ᏚᏅᏏ ᎩᎶᎢ                                                                          |ᎠᏥᎸᏍᎩ          |                 |                 |              |               |               |a.2ji2lv4sgi                            |a.2ni2ji2lv4sgi              |                                                 |                                          |                          |                             |                              |ced
100191|A flower                                                                                                                                                    |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᎸᏍᎩ          |                 |                 |              |               |               |ạtsịlṿsgi                               |                             |                                                 |                                          |                          |                             |                              |rrd
72441 |cedar                                                                                                                                                       |                  |<u>A cedar</u> is always green                                                                                                                                               |<u>Ajina</u> nigohilv ije gesoi                                                                                    |<u>ᎠᏥᎾ</u> ᏂᎪᎯᎸ ᎢᏤ ᎨᏐᎢ                                                                         |ᎠᏥᎾ            |                 |                 |              |               |               |a.2ji.2na                               |                             |                                                 |                                          |                          |                             |                              |ced
100192|Cedar                                                                                                                                                       |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᏂ            |                 |                 |              |               |               |atsini                                  |                             |                                                 |                                          |                          |                             |                              |rrd
72442 |light a fire, match                                                                                                                                         |                  |<u>He lit</u> the cigarette with a match.                                                                                                                                    |Ajil gohlvhdi gvhdi <u>ujislanvi</u> goksdi.                                                                       |ᎠᏥᎳ ᎪᏢᏗ ᎬᏗ <u>ᎤᏥᏍᎳᏅᎢ</u> ᎪᎩᏍᏗ.                                                                 |ᎠᏥᏍᎸᏍᎦ         |ᏥᏥᏍᎸᏍᎦ           |ᎭᎢᏥᏍᎸᎦ           |ᎤᏥᏍᎸᏍᏗ        |ᎤᏥᏍᎳᏅᎢ         |ᎠᏥᏍᎸᏍᎪᎢ        |a1ji3slv.2sga                           |                             |ji.2ji3slv2sga                                   |hi.2ji1slv1ga                             |u2ji1slv.3sdi             |u1ji3sla.2nv23?i             |a1ji3slv2sgo3?i               |ced
100193|He is igniting it                                                                                                                                           |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᏍᏓᎳᏍᎦ        |ᏥᏥᏍᏓᎳᏍᎦ          |ᎯᏥᏍᏓᎳᎦ           |ᎤᏥᏍᏓᎶᏗ        |ᎤᏥᏍᏓᎳᏅᎢ        |ᎠᏥᏍᏓᎳᏍᎪᎢ       |ạtsi³sdahlasga                          |                             |tsịtsi³sdạɂlasga                                 |hịtsi³sdahlaga                            |utsi³sdahldi              |utsi³sdahlạnv²³ɂi            |ạtsi³sdahlasgo³ɂi             |rrd
100194|It is catching fire                                                                                                                                         |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᏍᏓᎵᎦ         |-                |ᏩᏥᏍᏓᎵᎩ           |ᎤᏥᏍᏓᎵᏗ        |ᎤᏥᏍᏓᎵᏨᎢ        |ᎠᏥᏍᏓᎵᎪᎢ        |atsi³sdahlga                            |                             |                                                 |watsi³sdahlgi                             |utsi³sdahldi              |utsi³sdahltsv²³ɂi            |atsi³sdahlgo³ɂi               |rrd
72681 |he's taking a bite                                                                                                                                          |                  |<u>He took a bite</u> of cornbread.                                                                                                                                          |Selu gadu <u>utsdevi</u>.                                                                                          |ᏎᎷ ᎦᏚ <u>ᎤᏥᏍᏕᎥᎢi</u>.                                                                          |ᎠᏥᏍᏕᎠ          |ᎦᏥᏍᏕᎠ            |ᎭᏥᏍᏓᎩ            |ᎤᏥᏕᏍᎢ         |ᎤᏥᏍᏕᏒᎢ         |ᎠᏥᏍᏕᏍᎪᎢ        |a1tsde3?a                               |                             |ga.2ji1sde3?a                                    |ha.2tsda.2gi                              |u2tsde1sdi                |u1tsde3sv23?i                |a1tsde3sgo3?i                 |ced
100195|Container for it (a liquid)                                                                                                                                 |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᏍᏙᏗ          |                 |                 |              |               |               |ạtsị³sdohdi                             |                             |                                                 |                                          |                          |                             |                              |rrd
100196|He is flirting with her                                                                                                                                     |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᏚᎥᏍᎦ         |ᏥᏯᏥᏚᎥᏍᎦ          |ᎯᏯᏥᏚᎥᎦ           |ᎤᏥᏚᏗ          |ᎤᏥᏚᏅᎢ          |ᎠᏥᏚᎥᏍᎪᎢ        |ạtstuɂvsga                              |                             |tsiyạdsɂtuɂvsga                                  |hiyạdsɂtuɂvga                             |utstuɂdi                  |utstuɂnv²³ɂi                 |ạtstuɂvsgo³ɂi                 |rrd
100197|He is weeping                                                                                                                                               |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏥᏲᏱᎭ          |ᎦᏥᏲᏱᎭ            |ᎭᏥᏲᏱᎦ            |ᎤᏥᏲᏱᏍᏗ        |ᎤᏥᏲᏱᎸᎢ         |ᎠᏥᏲᏱᎰᎢ         |adsyọ³hyịha                             |                             |gadsyọɂyịha                                      |hadsyọ³hyga                               |udsyọ³hysdi               |udsyọ³hyịlv²³ɂi              |adsyọ³hyịho³ɂi                |rrd
100198|He is running over him                                                                                                                                      |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏦᎥᏍᏗᎭ         |ᏥᏦᎥᏍᏗᎭ           |ᎯᏦᎥᏍᏓ            |ᎤᏦᎥᏍᏙᏗ        |ᎤᏦᎥᏍᏔᏅᎢ        |ᎠᏦᎥᏍᏗᏍᎪᎢ       |ạtsọɂvsdịha                             |                             |tsitsọɂṿɂsdịha                                   |hitsọɂvsda                                |utsọɂvsdohdi              |utsọɂvstạnv²³ɂi              |ạtsọɂvsdịsgo³ɂi               |rrd
72443 |he's blowing, he's blowing on it                                                                                                                            |                  |<u>He's blowing on</u> the hot coffee.                                                                                                                                       |Kahwi udihlegi <u>ajotasga</u>.                                                                                    |ᎧᏫ ᎤᏗᎴᎩ <u>ᎠᏦᏔᏍᎦ</u>.                                                                          |ᎠᏦᏔᏍᎦ          |ᎦᏦᏔᏍᎦ            |ᎭᏦᏔ              |ᎤᏦᏔᏍᏗ         |ᎤᏦᏔᎲᎢ          |ᎠᏦᏔᏍᎪᎢ         |a1jo3ta.2sga                            |                             |ga.2jo3ta.2sga                                   |ha.2jo1ta                                 |u2jo1ta.3sdi              |u1jo3ta.2hv23?i              |a1jo3ta.2sgo3?i               |ced
100199|He is blowing on him                                                                                                                                        |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏦᏖᎭ           |ᏥᏯᏦᏕᎭ            |ᎯᏯᏦᏓ             |ᎤᏦᏖᏗ          |ᎤᏦᏖᎥᎢ          |ᎠᏦᏖᎰᎢ          |atsoteha                                |                             |tsiyatsodɂeha                                    |hiyatsodɂa                                |utsotehdi                 |utsotẹɂhv²³ɂi                |atsoteho³ɂi                   |rrd
100200|He is crying.; He is weeping                                                                                                                                |                  |                                                                                                                                                                             |                                                                                                                   |                                                                                               |ᎠᏦᏱᎭ           |ᎦᏦᏱᎭ             |ᎭᏦᏱᎦ             |ᎤᏦᏱᏍᏗ         |ᎤᏦᏱᎸᎢ          |ᎠᏦᏱᎰᎢ          |atsohyịha                               |                             |gatsọɂyịha                                       |hatsohyga                                 |utsohyị³sdi               |utsohyịlv²³ɂi                |atsohyịho³ɂi                  |rrd
