ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
||||||ᏌᎶᎵ, ᏐᏈᎵ, ᎠᎴ ᏲᎾ ᏚᎾᏙᎠ; ᏌᎶꮅ, ᏐᏈꮅ, ᎠᎴ ᏲᎾ ᏚᎾᏙ|salǒ:li, sǒ:gwíli, ale yǒ:na dù:nadó:ʔa; salǒ:l, sǒ:gwíl, ale yǒ:na dù:nadó|“Squirrel, Horse, and Bear are what they are called.”|||

||||||ᏌᎶᎵ, ᎢᎮᏙᎸᎢ; ᏌᎶꮅ, ᎢᎮᏙᎸᎢ|salǒ:li, íhě:dô:lv:ʔi; salǒ:l, íhě:dô:lv:ʔi|“Squirrel, come around again.”|||
||||||ᏐᏈᎵ ᎠᎴ ᏲᎾ, ᎢᏍᏕᏙᎸᎢ; ᏐᏈꮅ ᎠᎴ ᏲᎾ, ᎢᏍᏕᏙᎸᎢ|sǒ:gwíli ale yǒ:na, ísdě:dô:lv:ʔi; sǒ:gwíl ale yǒ:na, ísdě:dô:lv:ʔi|“Horse and Bear, come around again.”|||
||||||ᏌᎶᎵ, ᏐᏈᎵ, ᎠᎴ ᏲᎾ ᎢᎢᏤᏙᎸᎢ; ᏌᎶꮅ, ᏐᏈꮅ, ᎠᎴ ᏲᎾ ᎢᎢᏤᏙᎸᎢ|salǒ:li, sǒ:gwíli, ale yǒ:na íʔì:jě:dô:lv:ʔi; salǒ:l, sǒ:gwíl, ale yǒ:na íʔì:jě:dô:lv:ʔi|“Squirrel, Horse, and Bear, come around again.”|||
||||||ᎩᎵᏏ; ᎩᎵᏍ|gili:si; gili:s|“English.”|||
||||||ᏴᏫ|yv:wi|“A person. People.”|||
||||||ᎠᎩᎵᏏ; ᎠᎩᎵᏍ|agili:si; agili:s|“An English person.”|||
||||||ᎠᏂᎩᎵᏏ; ᎠᏂᎩᎵᏍ|ani:gili:si; ani:gili:s|“English people.”|||
||||||ᎠᏣᎳᎩ; ᎠᏣᎳg|ajalagi; ajalag|“A Cherokee person.”|||
||||||ᎠᏃᏍᏓ ᎠᏂᏣᎳᎩ; ᎠᏃᏍd ᎠᏂᏣᎳg|à:nő:sda ani:jalagi; à:nő:sd ani:jalag|“Good cherokee people.”|||
||||||ᎠᏲᏁᎦ; ᎠᏲᏁg|ayó:ne:ga; ayó:ne:g|An English or white person.|||
||||||ᎤᏂᏲᎢ ᎠᏂᏲᏁᎦ; ᎤᏂᏲ ᎠᏂᏲᏁg|u:niyő:ʔi ani:yó:ne:ga; u:niyő ani:yó:ne:g|“Bad English people.”|||
||||||ᎠᏂᏴᏫ|ani:yv:wi|“People.”|||
||||||ᎠᏴᏫᏯᎢ; ᎠᏴᏫᏯ|ayv:wi:ya̋:ʔi; ayv:wi:ya̋|“A Native American.”|||
||||||ᎠᏂᏴᏫᏯᎢ; ᎠᏂᏴᏫᏯ|ani:yv:wi:ya̋:ʔi; ani:yv:wi:ya̋|“Native Americans.”||Complete the lesson material through the end of chapter 12.|

#Chapter 13 ᏦᎦᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||Ꮟ|si|“Wait! Yet! All the same.”|||
||||||ᎥᏝᏏ; ᏝᏏ|vhlási; hlási|“Not all the same. No longer still.”|||

||||||Ꮭ ᎪᎱᏍᏗ; Ꮭ ᎪᎱᏍd; Ꮭ ᎪᏍᏗ; Ꮭ ᎪᏍd|hla go:hű:sdi; hla go:hű:sd; hla gő:sdi; hla gő:sd|“Not anything.”|||

||||||ᎤᏬꮅᏗ ᎪᏪᎵ; ᎤᏬꮅd ᎪᏪꮅ|uwőhldi go:hwe:li; uwőhld go:hwe:l|A funny paper.|||
||||||ᏧᏬꮅᏗ ᏗᎪᏪᎵ; ᏧᏬꮅd ᏗᎪᏪꮅ|juwőhldi digo:hwe:li; juwőhld digo:hwe:l|Funny papers.|||

*||||||ᏕᏫᏗ ᏥᏍᏚ; ᏕᏫd ᏥᏍd|dé:widi ji:sdu; dé:wid ji:sd|David Rabbit|||
*||||||Ꮎ ᎠᏂᏦᎢ ᏲᎾ; Ꮎ ᎠᏂᏦ Ᏺn|na a:nijoʔi yǒ:na; na a:nijo yǒ:n|Those Three Bears|||
*||||||ᏌᏊ ᎤᏲ ᏥᏍᏚ.; ᏌᏊ ᎤᏲ ᏥᏍd.|sà:gwű u:yő ji:sdu.; sà:gwű u:yő ji:sd.|This is one bad rabbit!|||
*||||||ᏏᏲ ᏕᏫᏗ; ᏏᏲ ᏕᏫd|síyo dé:widi; síyo dé:wid|Hello David|||
*||||||ᎠᎨᏳᏣ ᎠᎴ ᎠᏂᏦᎢ ᏲᎾ; ᎠᎨᏳ ᎠᎴ ᎠᏂᏦ Ᏺn|age:hyű:ja ale a:nijoʔi yǒ:na; age:hyű ale a:nijo yǒ:n|A Girl and Three Bears|||
*|||||male|ᎠᏂ ᏥᏍᏚ|áhni ji:sdu|Here is a rabbit.|||
*|||||male|ᏥᏍᏚ ᎠᎨᏳᏣ; ᏥᏍd ᎠᎨᏳj|ji:sdu age:hyű:ja; ji:sd age:hyű:j|A rabbit girl|||
*|||||female|ᎦᏙ ᏕᏣᏙᎠ; ᎦᏙ ᏕᏣᏙ; Ꮩ ᏕᏣᏙ|gadō dě:jádó:ʔa; gadō dě:jádó; dō dě:jádó|What are you called?|||
*|||||male|ᏕᏫᏗ ᏥᏍᏚ ᏓᏆᏙᎠ; ᏕᏫd ᏥᏍd ᏓᏆᏙ|dé:widi ji:sdu dà:gwadó:a; dé:wid ji:sd dà:gwadó|I'm called David Rabbit.|||
*|||||male|ᏂᎯ ᎠᎴ ᎠᏴ.|nihi ale ayv.|You and me!|||
*|||||male|ᏂᎯ ᎠᎭᏂ ᎣᏍᏓ; ᏂᎯ ᎠᏂ ᎣᏍd|nihi áhani ő:sda; nihi áhni ő:sd|You here is good.|||
*|||||female|ᎭᏢ Ꮎ ᎠᏂᏦᎢ ᏲᎾ?; ᎭᏢ Ꮎ ᎠᏂᏦ Ᏺn?|ha:dlv na a:nijoʔi yǒ:na?; ha:dlv na a:nijo yǒ:n?|Where are those three bears?|||
*|||||male|ᏲᎾᎾ ᎠᏂᏦᎢ?; ᏲᎾᎾ ᎠᏂᏦ?|yǒ:nana a:nijoʔi?; yǒ:nana a:nijo?|What about three bears?|||
*|||||male|Ꮎ ᎤᏲᎢ!; Ꮎ ᎤᏲ!|na u:yő:ʔi!; na u:yő!|That's bad!|||
*|||||male|ᎤᎿᏍᎪ ᎠᏂᏦᎢ ᏲᎾ?; ᎤᎿᏍ ᎠᏂᏦ Ᏺn?|ù:hna̋sgo a:nijoʔi yǒ:na?; ù:hna̋s a:nijo yǒ:n?|Are three bears there?|||
*|||||female|Ꮎ ᎠᏂᏦᎢ ᏲᎾ ᎤᎿ.; Ꮎ ᎠᏂᏦ Ᏺn ᎤᎿ.|na a:nijoʔi yǒ:na ù:hna̋.; na a:nijo yǒ:n ù:hna̋.|The three bears are there.|||
*|||||male|Ꮟ! Ꮎ ᎠᏂᏦᎢ ᏲᎾ ᎠᎭᏂ; Ꮟ! Ꮎ ᎠᏂᏦ ᏲᎾ ᎠᏂ|Si! na a:nijoʔi yǒ:na áhani; Si! na a:nijo yǒ:na áhni|Wait! The three bears are here!|||
*|||||male|ᎤᎿ ᎦᏥᎪwᏘᎭ, ᎠᏂᏔᎵ ᏪᏌ; ᎤᎿ ᎦᏥᎪwᏘ, ᏔᎵ ᏪᏍ|ù:hna̋ ga:ji:gowhtíha, a:nitáʔli wě:sa; ù:hna̋ ga:ji:gowhtí, táʔli wě:s|There, I see them, two cats|||
*|||||male|ᏪᏌᏍᎪ? ᎥᏝ! ᎥᏍᎩ ᎠᏂᏔᎵ ᎩᏟ; ᏪᏌᏍ? Ꮭ! ᎥᏍᎩᎾ ᏔᎵ ᎩᏟ; ᏪᏌᏍ? Ꮭ! ᏍᎩᎾ ᏔᎵ ᎩᏟ; ᏪᏌᏍ? Ꮭ! ᎾᏍᎩ ᏔᎵ ᎩᏟ|wě:sasgo? vhla! v̀:sgi a:nitáʔli gi:hli; wě:sas? hla! v̀:sgina táʔli gi:hli; wě:sas? hla! sgina táʔli gi:hli; wě:sas? hla! nà:sgi táʔli gi:hli|Cats? No! Those are two dogs!|||
*|||||female|ᏲᎾᎾ|yǒ:nana|What about bears?|||
*|||||male|ᎥᏝ ᏲᎾ ᎠᎭᏂ ᏱᎩ; Ꮭ Ᏺn ᎠᏂ Ᏹg|vhla yǒ:na áhani yi̋:gi; hla yǒ:n áhni yi̋:g|No bears are here!|||
*|||||female|ᎦᏙ ᎤᏍᏗ ᎠᎭᏂ?; ᎦᏙ ᎤᏍd ᎠᏂ?; Ꮩ ᎤᏍd ᎠᏂ?|gadō u:sdi áhani?; gadō u:sd áhni?; dō u:sd áhni?|What is here?|||
*|||||male|ᎤᎿ ᏥᎪwᏘᎭ; ᎤᎿ ᏥᎪwᏘ|ù:hna̋ jigowhtíha; ù:hna̋ jigowhtí|I'm looking there!|||
# gő:sdi|||
*|||||male|ᎪᎱᏍᏗ ᎣᏍᏓ ᏥᎪwᏘᎭ; ᎪᎱᏍd ᎣᏍd ᏥᎪwᏘ; ᎪᏍᏗ ᎣᏍᏓ ᏥᎪwᏘᎭ; ᎪᏍd ᎣᏍd ᏥᎪwᏘ|go:hű:sdi ő:sda jigowhtíha; go:hű:sd ő:sd jigowhtí; gő:sdi ő:sda jigowhtíha; gő:sd ő:sd jigowhtí|I see something good!|||
*|||||female|ᎦᏙ ᎤᏍᏗ ᎯᎪwᏘᎭ?; ᎦᏙ ᎤᏍd ᎯᎪwᏘ?; Ꮩ ᎤᏍᏗ ᎯᎪwᏘ?|gadō u:sdi higowhtíha?; gadō u:sd higowhtí?; dō u:sdi higowhtí?|What do you see?|||
*|||||male|ᎰᏩ. ᎪᎱᏍᏗ ᎣᏍᏓ; ᎰᏩ. ᎪᎱᏍd ᎣᏍd; ᎰᏩ. ᎪᏍᏗ ᎣᏍᏓ; ᎰᏩ. ᎪᏍd ᎣᏍd|howa. go:hű:sdi ő:sda; howa. go:hű:sd ő:sd; howa. gő:sdi ő:sda; howa. gő:sd ő:sd|Alright! Something good!|||
*|||||male|ᎣᏍᏓᏊ|ő:sdagwu|Just fine!|||
*|||||female|Ꮒ! ᎠᎭᏂ ᏐᏈᎵ!; Ꮒ! ᎠᏂ ᏐᏈꮅ!|ni! áhani sǒ:gwíli!; ni! áhni sǒ:gwíl!|look! Here is a horse!|||
*|||||male|ᎤᎿ ᏌᏊ ᏐᏈᎵ.; ᎤᎿ ᏌᏊ ᏐᏈꮅ.|ù:hna̋ sà:gwű sǒ:gwíli.; ù:hna̋ sà:gwű sǒ:gwíl.|There, is one horse.|||
*|||||male|ᎠᎭᏂ ᏌᏊ ᏐᏈᎵ.; ᎠᏂ ᏌᏊ ᏐᏈꮅ.|áhani sà:gwű sǒ:gwíli.; áhni sà:gwű sǒ:gwíl.|Here, is one horse.|||
*|||||male|ᎯᎠᏍᎪ ᎣᏍᏓ ᏐᏈᎵ?; ᎯᎠᏍ ᎣᏍd ᏐᏈꮅ?; ᎯᎢᏍ ᎣᏍd ᏐᏈꮅ?|hiʔasgo ő:sda sǒ:gwíli?; hiʔas ő:sd sǒ:gwíl?; hiʔis ő:sd sǒ:gwíl?|Is this a good horse?|||
*|||||male|ᎣᏍᏓ ᏐᏈᎵ; ᎣᏍd ᏐᏈꮅ|ő:sda sǒ:gwíli; ő:sd sǒ:gwíl|It's a good horse!|||
*|||||female|Ꮎ ᎤᏲᎢ ᏐᏈᎵ.; Ꮎ ᎤᏲ ᏐᏈꮅ.|na u:yő:ʔi sǒ:gwíli.; na u:yő sǒ:gwíl.|That bad horse!|||
*|||||male|ᎤᎿ, ᎣᏍᏓ ᏌᏊ ᏥᎪwᏘᎭ|ù:hna̋, ő:sda sà:gwű jigowhtíha|There, I see a good one!|||
*|||||female|ᏕᏫᏗ! ᏴᏫ ᎠᎭᏂ!; ᏕᏫd! ᏴᏫ ᎠᏂ!|dé:widi! yv:wi áhani!; dé:wid! yv:wi áhni!|David! People are here!|||
*|||||female|Ꮎ ᏲᎾ ᎠᏧᏣ ᏣᏂ ᏚᏙᎠ; Ꮎ Ᏺn ᎠᏧj ᏣᏂ ᏚᏙ|na yǒ:na achű:ja já:ni dù:dó:ʔa; na yǒ:n achű:j já:ni dù:dó|The bear boy is called John.|||
*|||||male|ᎦᎪ? ᎦᏙ ᏚᏙᎠ?; ᎦᎪ? ᎦᏙ ᏚᏙ?; ᎦᎪ? Ꮩ ᏚᏙ?|gá:gō? gadō dù:dó:ʔa?; gá:gō? gadō dù:dó?; gá:gō? dō dù:dó?|Who? What's he called?|||
*|||||male|ᏕᏣᏙᎠᏍᎪ ᏕᏫᏗ ᏥᏍᏚ?; ᏕᏣᏙᎠᏍ ᏕᏫd ᏥᏍd?; ᏕᏣᏙᏍ ᏕᏫd ᏥᏍd?|dě:jádó:ʔasgo dé:widi ji:sdu?; dě:jádó:ʔas dé:wid ji:sd?; dě:jádós dé:wid ji:sd?|Are you called David Rabbit?|||
*|||||male|ᏂᎯ Ꮎ ᎤᏲᎢ ᏥᏍᏚ!; ᏂᎯ Ꮎ ᎤᏲ ᏥᏍd!|nihi na u:yő:ʔi ji:sdu!; nihi na u:yő ji:sd!|You are that bad rabbit!||Complete the lesson material through the end of chapter 13.|

#Chapter 14 ᏂᎦᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||ᎢᏤᎢ ᏚᏯ; ᎢᏤ ᏚᏯ|ìje̋:ʔi tǔ:ya; ìje̋ tǔ:ya|A green bean.|||
||||||ᎢᏤᎢᏳᏍᏗᏍᎪ ᏲᎾ?; ᎢᏤᎢᏳᏍᏗᏍ Ᏺn?|ijé:ʔiyű:sdisgo yǒ:na?; ijé:ʔiyű:sdis yǒ:n?|Is it a green bear?|||
||||||ᎤᏍᎪᎸᎢ; ᎤᏍᎪᎸ|ù:sgǒ:lv̋:ʔi; ù:sgǒ:lv̋|“Dim. Faded.”|||
||||||ᎤᏬᏗᎨᎢ ᏄᎾᏊ; ᎤᏬᏗᎨ ᏄᎾᏊ|uwǒ:díge̋ʔi nǔ:nagwu; uwǒ:díge̋ nǔ:nagwu|just a brown potato.|||
#gǐ:ge̋:ɂi|||
||||||ᎩᎦᎨᎢ ᎫᎴ; ᎩᎦᎨ ᎫᎴ; ᎩᎨᎢ ᎫᎴ; ᎩᎨ ᎫᎴ|gǐ:gáge̋:ʔi gu:le; gǐ:gáge̋ gu:le; gǐ:ge̋:ʔi gu:le; gǐ:ge̋ gu:le|A red acorn.|||
||||||ᎬᎿᎨᎢ ᏌᏛᏗ; ᎬᎿᎨ ᏌᏛd; ᎬᏂᎨᎢ ᏌᏛᏗ; ᎬᏂᎨ ᏌᏛd|gv̌:hnáge̋ʔi sadv́:di; gv̌:hnáge̋ sadv́:d; gv̌:níge̋:ʔi sadv́:di; gv̌:níge̋ sadv́:d|A black trap.|||
||||||ᏌᎪᏂᎨᎢ ᏌᏛᏗ; ᏌᎪᏂᎨ ᏌᏛd|sakǒ:níge̋:ʔi sadv́:di; sakǒ:níge̋ sadv́:d|A blue trap.|||
||||||ᏓᎭᎵᎨᎢ ᏄᎾ; ᏓᎭᎵᎨ ᏄᎾ|daha:lige̋:ʔi nǔ:na; daha:lige̋ nǔ:na|A purple potato.|||
||||||ᏓᎶᏂᎨᎢ ᏅᏯ; ᏓᎶᏂᎨ ᏅᏯ|dalǒ:níge̋:ʔi nv̀:ya; dalǒ:níge̋ nv̀:ya|A yellow rock|||
||||||ᎠᎩᎦᎨᎢ ᎠᎨᏯ; ᎠᎩᎦᎨ ᎠᎨᏯ; ᎠᎩᎨᎢ ᎠᎨᏯ; ᎠᎩᎨ ᎠᎨᏯ|agǐ:gáge̋:ʔi agě:hya; agǐ:gáge̋ agě:hya; agǐ:ge̋:ʔi agě:hya; agǐ:ge̋ agě:hya|A red woman.|||
||||||ᎠᎬᎿᎨᎢ ᎩᏟ; ᎠᎬᎿᎨ ᎩᏟ; ᎠᎬᏂᎨᎢ ᎩᏟ; ᎠᎬᏂᎨ ᎩᏟ|agv̌:hnáge̋:ʔi gi:hli; agv̌:hnáge̋ gi:hli; agv̌:níge̋:ʔi gi:hli; agv̌:níge̋ gi:hli|A black dog.|||
||||||ᎠᏌᎪᏂᎨᎢ ᏪᏌ; ᎠᏌᎪᏂᎨ ᏪᏍ|asakǒ:níge̋:ʔi wě:sa; asakǒ:níge̋ wě:s|A blue cat|||
||||||ᎠᏓᎭᎵᎨᎢ ᎠᎭᏫ; ᎠᏓᎭᎵᎨ ᎠᏫ|adaha:lige̋:ʔi ahawi; adaha:lige̋ ahwi|A purple deer.|||
||||||ᎠᏓᎶᏂᎨᎢ ᎠᎭᏫ; ᎠᏓᎶᏂᎨ ᎠᏫ|adalǒ:níge̋:ʔi ahawi; adalǒ:níge̋ ahwi|A yellow deer.|||
||||||ᎩᎦᎨᎢ ᎤᏍᎪᎸᎢ ᎫᎴ; ᎩᎦᎨᎢ ᎤᏍᎪᎸ ᎫᎴ|gǐ:gáge̋:ʔi ù:sgǒ:lv̋:ʔi gu:le; gǐ:gáge̋:ʔi ù:sgǒ:lv̋ gu:le|A pink acorn.|||
||||||ᏓᎶᏂᎨᎢ ᎤᏍᎪᎸᎢ ᏚᏯ; ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᏚᏯ|dalǒ:níge̋:ʔi ù:sgǒ:lv̋:ʔi tǔ:ya; dalǒ:níge̋ ù:sgǒ:lv̋ tǔ:ya|An orange bean.||Complete the lesson material through the end of chapter 14.|

#Chapter 15 ᏍᎩᎦᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||ᎠᏂᏤ ᏚᏯ|ani:je̋ tǔ:ya|Green beans.|||
||||||ᎠᏂᏤᎢᏳᏍᏗ ᏙᏯ|ani:jé:ʔiyű:sdi do:ya|Green beavers.|||
||||||ᎠᏂᎩᎦᎨ ᏥᏍᏚ|ani:gǐ:gáge̋ ji:sdu|Red rabbits.|||
||||||ᎠᏂᏓᎭᎵᎨ ᏩᎭᏯ|ani:daha:lige̋ wahaya|Purple wolves.|||
||||||ᎠᏂᎬᎿᎨ ᏩᏯ|ani:gv̌:hnáge̋ wahya|Black wolves.|||
||||||ᎠᏂᏌᎪᏂᎨ ᏌᎶᎵ|ani:sakǒ:níge̋ salǒ:li|Blue squirrels.|||
||||||ᎠᏂᏓᎶᏂᎨ ᏐᏈᎵ|ani:dalǒ:níge̋ sǒ:gwíli|Yellow horses.|||
||||||ᎤᏂᏁᎦ ᏲᎾ|u:ni:ne̋:ga yǒ:na|white bears.|||
||||||ᏧᏃᏗᎨ ᎩᏟ|ju:nǒ:díge̋ gi:hli|Brown dogs.|||
||||||ᏗᏤ ᏄᎾ|dije̋ nǔ:na|Green potatoes.|||
||||||ᏗᏤᎢᏳᏍᏗ ᏗᏌᏛᏗ|dijé:ʔiyű:sdi di:sadv́:di|green traps.|||
||||||ᏧᏁᎦ ᏕꮅᎬᎢ|ju:ne̋:ga dě:hlgv̋:ʔi|white trees.|||
||||||ᏧᏬᏗᎨᎢ ᏗᎪᏪᎵ|juwǒ:díge̋:ʔi digo:hwe:li|Brown papers. A brown book.|||
||||||ᏗᎩᎦᎨ ᎪᎱᏍᏗ; ᏗᎩᎦᎨ ᎪᏍᏗ|digǐ:gáge̋ go:hű:sdi; digǐ:gáge̋ gő:sdi|Red things.|||
||||||ᏗᎬᎿᎨ ᏅᏯ|digv̌:hnáge̋ nv̀:ya|Black rocks.|||
||||||ᏗᏌᎪᏂᎨ ᎫᎴ|disakǒ:níge̋ gu:le|blue acorns.|||
||||||ᏗᏓᎭᎵᎨᎢ ᏄᎾ|didaha:lige̋:ʔi nǔ:na|Purple potatoes.|||
||||||ᏗᏓᎶᏂᎨᎢ ᏅᏯ|didalǒ:níge̋:ʔi nv̀:ya|Yellow rocks.||Complete the lesson material through the end of chapter 15.|

#Chapter 16 ᏓᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||

#Chapter 17 ᎦᎵᏆᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||ᎫᎴ ᎤᎭ|gu:le ǔ:ha|“He has an acorn.”|||
||||||ᏚᏯ ᎤᏂᎭ|tǔ:ya ù:nǐ:ha|“They have a bean.”|||
||||||ᏌᏛᏗ ᎠᎩᎭ|sadv́:di à:giha|“I have a trap.”|||
||||||ᏄᎾ ᏣᎭ|nǔ:na jaha|“You have a potato.”|||
||||||ᎩᏟ ᎤᏩᎧᎭ; ᎩᏟ ᎤᏩᎧ|gi:hli ù:wa:káha; gi:hli ù:wa:ká|“He has a dog.”|||
||||||ᏪᏌ ᎤᏂᎧᎭ; ᏪᏍ ᎤᏂᎧ|wě:sa ù:ni:káha; wě:s ù:ni:ká|“They have a cat.”|||
||||||ᎠᎭᏫ ᎠᎩᎧᎭ; ᎠᏫ ᎠᎩᎧ|ahawi à:gikáha; ahwi à:giká|“I have a deer.”|||
||||||ᏙᏯ ᏣᎧᎭ; ᏙᏯ ᏣᎧ|do:ya jakáha; do:ya jaká|“You have a beaver.”||Complete the lesson material through the end of chapter 17.|

#Chapter 18 ᏁᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||ᎠᎨᏳᏣ ᎠᎩᎪwᏘᎭ|age:hyű:ja agigowhtíha|“A girl sees me.”|||
||||||ᎠᏧᏣ Ꮭ ᏯᎩᎪwᏘᎭ|achű:ja hla yagigowhtíha|“The boy doesn't see me.”|||
||||||ᏌᎶᎵ ᏣᎪwᏘᎭ|salǒ:li jagowhtíha|“A squirrel sees you.”|||
||||||Ꮭ ᏲᎾ ᏱᏣᎪwᏘᎭ|hla yǒ:na yijagowhtíha|“The bear doesn't see you.”|||
||||||Ꮭ ᎫᎴ ᏳᎭ|hla gu:le yǔ:ha|“He doesn't have an acorn.”|||
||||||Ꮭ ᏌᏛᏗ ᏳᏂᎭ|hla sadv́:di yù:nǐ:ha|“They don't have the trap.”|||
||||||Ꮭ ᏄᎾ ᏯᎩᎭ|hla nǔ:na yà:giha|“I don't have the potato.”|||
||||||Ꮭ ᏅᏯ ᏱᏣᎭ|hla nv̀:ya yijaha|“You don't have the rock.”|||
||||||Ꮭ ᎩᏟ ᏳᏩᎧᎭ|hla gi:hli yù:wa:káha|“He doesn't have a dog.”|||
||||||Ꮭ ᏪᏌ ᏳᏂᎧᎭ|hla wě:sa yù:ni:káha|“They don't have a cat.”|||
||||||Ꮭ ᏙᏯ ᏯᎩᎧᎭ|hla do:ya yà:gikáha|“I don't have a beaver.”|||
||||||Ꮭ ᏥᏍᏚ ᏱᏣᎧᎭ|hla ji:sdu yijakáha|“You don't have a rabbit.”||Complete the lesson material through the end of chapter 18.|

#Chapter 19 ᏐᏁᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
#ID|PSET|DIALOG|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|AUDIO FILE|||
||||||ᏩᎭᏯ ᎬᎩᎪwᏘᎭ; ᏩᏯ ᎬᎩᎪwᏘ|wahaya gv:gigowhtíha; wahya gv:gigowhtí|“Wolves see me.”|||
||||||ᎥᏝ ᎠᏂᎨᏳᏣ ᏱᎬᎩᎪwᏘᎭ; Ꮭ ᎠᏂᎨᏳj ᏱᎬᎩᎪwᏘ|vhla ani:ge:hyű:ja yigv:gigowhtíha; hla ani:ge:hyű:j yigv:gigowhtí|“Girls don't see me.”|||
||||||ᎠᏂᏧᏣ ᎨᏣᎪwᏘᎭ; ᎠᏂᏧj ᎨᏣᎪwᏘ|ani:chű:ja ge:jagowhtíha; ani:chű:j ge:jagowhtí|“Boys see you.”|||
||||||ᎥᏝ ᏌᎶᎵ ᏱᎨᏣᎪwᏘᎭ; Ꮭ ᏌᎶꮅ ᏱᎨᏣᎪwᏘ|vhla salǒ:li yige:jagowhtíha; hla salǒ:l yige:jagowhtí|“Squirrels don't see you.”|||

||||||ᏗᏌᏛᏗ ᏚᎭ; ᏗᏌᏛd ᏚᎭ|di:sadv́:di dǔ:ha; di:sadv́:d dǔ:ha|“He has traps.”|||
||||||ᏄᎾ ᏚᏂᎭ; Ꮔn ᏚᏂᎭ|nǔ:na dù:nǐ:ha; nǔ:n dù:nǐ:ha|“They have potatoes.”|||
||||||ᏅᏯ ᏓᎩᎭ|nv̀:ya dà:giha|“I have rocks.”|||
||||||ᎫᎴ ᏕᏣᎭ|gu:le de:jaha|“You have acorns.”|||
||||||ᎠᎭᏫ ᏚᏩᎧᎭ; ᎠᏫ ᏚᏩᎧ|ahawi dù:wa:káha; ahwi dù:wa:ká|“He has deer.”|||
||||||ᏙᏯ ᏚᏂᎧᎭ; ᏙᏯ ᏚᏂᎧ|do:ya dù:ni:káha; do:ya dù:ni:ká|“They have beavers.”|||
||||||ᏥᏍᏚ ᏓᎩᎧᎭ; ᏥᏍd ᏓᎩᎧ|ji:sdu dà:gikáha; ji:sd dà:giká|“I have rabbits.”|||
||||||ᏩᎭᏯ ᏕᏣᎧᎭ; ᏩᏯ ᏕᏣᎧ|wahaya de:jakáha; wahya de:jaká|“You have wolves.”|||

||||||ᎥᏝ ᏗᏌᏛᏗ ᏱᏚᎭ; Ꮭ ᏗᏌᏛd ᏱᏚᎭ|vhla di:sadv́:di yidǔ:ha; hla di:sadv́:d yidǔ:ha|“He doesn't have traps.”|||
||||||ᎥᏝ ᏄᎾ ᏱᏚᏂᎭ|vhla nǔ:na yidù:nǐ:ha|“They don't have potatoes.”|||
||||||ᎥᏝ ᏅᏯ ᏱᏓᎩᎭ|vhla nv̀:ya yida:giha|“I don't have rocks.”|||
||||||ᎥᏝ ᎫᎴ ᏱᏗᏣᎭ|vhla gu:le yidi:jaha|“You don't have acorns.”|||
||||||ᎥᏝ ᎩᏟ ᏱᏚᏩᎧᎭ; Ꮭ ᎩᏟ ᏱᏚᏩᎧ|vhla gi:hli yidù:wa:káha; hla gi:hli yidù:wa:ká|“He doesn't have dogs.”|||
||||||ᎥᏝ ᏪᏌ ᏱᏚᏂᎧᎭ; Ꮭ ᏪᏍ ᏱᏚᏂᎧ|vhla wě:sa yidù:ni:káha; hla wě:s yidù:ni:ká|“They don't have cats.”|||
||||||ᎥᏝ ᎠᎭᏫ ᏱᏓᎩᎧᎭ; Ꮭ ᎠᏫ ᏱᏓᎩᎧ|vhla ahawi yida:gikáha; hla ahwi yida:giká|“I don't have deer.”|||
||||||ᎥᏝ ᏙᏯ ᏱᏗᏣᎧᎭ; Ꮭ ᏙᏯ ᏱᏗᏣᎧ|vhla do:ya yidi:jakáha; hla do:ya yidi:jaká|“You don't have beavers.”||Complete the lesson material through the end of chapter 19.|

#Chapter 20 ᏔᎵᏍᎪᎯᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||ᎢᎩ|i̋:gi|Is now or was just now.|||
||||||ᎢᎦ|i̋:ga|Is now.|||
||||||ᎨᏐᎢ; ᎨᏐ|gè:só:ʔi; gè:só|“Usually is.”|||
||||||ᎨᏒᎢ; ᎨᏒ|gè:sv̌:ʔi; gè:sv̌|“Being.”|||
||||||ᎨᏒᎩ; ᎨᏒg|gè:sv̌:gi; gè:sv̌:g|“Was being.”|||
||||||ᎨᏎᎢ; ᎨᏎ|gè:sé:ʔi; gè:sé|“Reportedly was being.”|||
||||||ᎨᎲᎢ; ᎨᎲ|gè:hv̌:ʔi; gè:hv̌|“Been (a while ago).”|||
||||||ᎨᎲᎩ; ᎨᎲ|gè:hv̌:gi; gè:hv̌|“Was (a while ago).”|||
